127.0.0.1 - - [04/Nov/2020:09:05:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2020:09:05:15 +0900] "GET /JSP_homework/WEB-INF/views/member/detail.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Nov/2020:09:05:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2020:09:05:23 +0900] "GET /JSP_homework/member/detail. HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Nov/2020:09:05:27 +0900] "GET /JSP_homework/member/detail HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [04/Nov/2020:09:05:35 +0900] "GET /JSP_homework/member/list HTTP/1.1" 200 4165
0:0:0:0:0:0:0:1 - - [04/Nov/2020:10:51:17 +0900] "GET /JSP_JSTL/fmt/numberformat.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [04/Nov/2020:10:52:05 +0900] "GET /JSP_JSTL/fmt/numberformat.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [04/Nov/2020:11:28:09 +0900] "GET /JSP_JSTL/fmt/dateFormat.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [04/Nov/2020:11:32:08 +0900] "GET /JSP_JSTL/fmt/dateFormat.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [04/Nov/2020:11:37:44 +0900] "GET /JSP_JSTL/fmt/dateFormat.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [04/Nov/2020:11:38:21 +0900] "GET /JSP_JSTL/fmt/dateFormat.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [04/Nov/2020:11:38:21 +0900] "GET /JSP_JSTL/fmt/dateFormat.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [04/Nov/2020:11:38:21 +0900] "GET /JSP_JSTL/fmt/dateFormat.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [04/Nov/2020:11:38:22 +0900] "GET /JSP_JSTL/fmt/dateFormat.jsp HTTP/1.1" 200 522
